method,dist,n1,n2,rho1,rho2,fz_nosim,fz
pearson,normal,15,15,0,0,0.025,0.062
pearson,normal,15,15,0,0.1,0.04324659,0.048
pearson,normal,15,15,0,0.2,0.071682716,0.087
pearson,normal,15,15,0,0.3,0.114720728,0.132
pearson,normal,15,15,0,0.4,0.17820163,0.164
pearson,normal,15,15,0,0.5,0.269460912,0.314
pearson,normal,15,15,0,0.6,0.396619446,0.405
pearson,normal,15,15,0,0.7,0.565323261,0.601
pearson,normal,15,15,0,0.8,0.767633496,0.807
pearson,normal,15,15,0,0.9,0.950141026,0.958
pearson,normal,15,15,0.1,0,0.04324659,0.052
pearson,normal,15,15,0.1,0.1,0.025,0.048
pearson,normal,15,15,0.1,0.2,0.043712225,0.068
pearson,normal,15,15,0.1,0.3,0.073868772,0.093
pearson,normal,15,15,0.1,0.4,0.121401228,0.147
pearson,normal,15,15,0.1,0.5,0.194835373,0.203
pearson,normal,15,15,0.1,0.6,0.305769634,0.296
pearson,normal,15,15,0.1,0.7,0.467605408,0.517
pearson,normal,15,15,0.1,0.8,0.686270046,0.713
pearson,normal,15,15,0.1,0.9,0.919311018,0.936
pearson,normal,15,15,0.2,0,0.071682716,0.101
pearson,normal,15,15,0.2,0.1,0.043712225,0.048
pearson,normal,15,15,0.2,0.2,0.025,0.046
pearson,normal,15,15,0.2,0.3,0.04471707,0.057
pearson,normal,15,15,0.2,0.4,0.077974061,0.105
pearson,normal,15,15,0.2,0.5,0.133276528,0.131
pearson,normal,15,15,0.2,0.6,0.224016501,0.243
pearson,normal,15,15,0.2,0.7,0.369902515,0.352
pearson,normal,15,15,0.2,0.8,0.592695465,0.604
pearson,normal,15,15,0.2,0.9,0.874852108,0.902
pearson,normal,15,15,0.3,0,0.114720728,0.137
pearson,normal,15,15,0.3,0.1,0.073868772,0.082
pearson,normal,15,15,0.3,0.2,0.04471707,0.062
pearson,normal,15,15,0.3,0.3,0.025,0.047
pearson,normal,15,15,0.3,0.4,0.046439236,0.068
pearson,normal,15,15,0.3,0.5,0.084936917,0.083
pearson,normal,15,15,0.3,0.6,0.153799699,0.168
pearson,normal,15,15,0.3,0.7,0.276361297,0.276
pearson,normal,15,15,0.3,0.8,0.489194156,0.498
pearson,normal,15,15,0.3,0.9,0.812745078,0.839
pearson,normal,15,15,0.4,0,0.17820163,0.193
pearson,normal,15,15,0.4,0.1,0.121401228,0.128
pearson,normal,15,15,0.4,0.2,0.077974061,0.103
pearson,normal,15,15,0.4,0.3,0.046439236,0.051
pearson,normal,15,15,0.4,0.4,0.025,0.047
pearson,normal,15,15,0.4,0.5,0.049250161,0.072
pearson,normal,15,15,0.4,0.6,0.096829486,0.106
pearson,normal,15,15,0.4,0.7,0.191265063,0.2
pearson,normal,15,15,0.4,0.8,0.379555596,0.398
pearson,normal,15,15,0.4,0.9,0.728571664,0.736
pearson,normal,15,15,0.5,0,0.269460912,0.266
pearson,normal,15,15,0.5,0.1,0.194835373,0.191
pearson,normal,15,15,0.5,0.2,0.133276528,0.135
pearson,normal,15,15,0.5,0.3,0.084936917,0.083
pearson,normal,15,15,0.5,0.4,0.049250161,0.058
pearson,normal,15,15,0.5,0.5,0.025,0.053
pearson,normal,15,15,0.5,0.6,0.053958465,0.075
pearson,normal,15,15,0.5,0.7,0.118793416,0.114
pearson,normal,15,15,0.5,0.8,0.269460912,0.296
pearson,normal,15,15,0.5,0.9,0.618179429,0.609
pearson,normal,15,15,0.6,0,0.396619446,0.42
pearson,normal,15,15,0.6,0.1,0.305769634,0.315
pearson,normal,15,15,0.6,0.2,0.224016501,0.233
pearson,normal,15,15,0.6,0.3,0.153799699,0.165
pearson,normal,15,15,0.6,0.4,0.096829486,0.087
pearson,normal,15,15,0.6,0.5,0.053958465,0.064
pearson,normal,15,15,0.6,0.6,0.025,0.053
pearson,normal,15,15,0.6,0.7,0.062591478,0.072
pearson,normal,15,15,0.6,0.8,0.166826672,0.169
pearson,normal,15,15,0.6,0.9,0.479410022,0.489
pearson,normal,15,15,0.7,0,0.565323261,0.606
pearson,normal,15,15,0.7,0.1,0.467605408,0.497
pearson,normal,15,15,0.7,0.2,0.369902515,0.392
pearson,normal,15,15,0.7,0.3,0.276361297,0.304
pearson,normal,15,15,0.7,0.4,0.191265063,0.198
pearson,normal,15,15,0.7,0.5,0.118793416,0.125
pearson,normal,15,15,0.7,0.6,0.062591478,0.065
pearson,normal,15,15,0.7,0.7,0.025,0.033
pearson,normal,15,15,0.7,0.8,0.081754239,0.065
pearson,normal,15,15,0.7,0.9,0.31624639,0.322
pearson,normal,15,15,0.8,0,0.767633496,0.781
pearson,normal,15,15,0.8,0.1,0.686270046,0.719
pearson,normal,15,15,0.8,0.2,0.592695465,0.601
pearson,normal,15,15,0.8,0.3,0.489194156,0.495
pearson,normal,15,15,0.8,0.4,0.379555596,0.386
pearson,normal,15,15,0.8,0.5,0.269460912,0.314
pearson,normal,15,15,0.8,0.6,0.166826672,0.171
pearson,normal,15,15,0.8,0.7,0.081754239,0.073
pearson,normal,15,15,0.8,0.8,0.025,0.046
pearson,normal,15,15,0.8,0.9,0.148053783,0.157
pearson,normal,15,15,0.9,0,0.950141026,0.948
pearson,normal,15,15,0.9,0.1,0.919311018,0.939
